PUBLICATION_DATE,UID,UNIQUE_ID,SITE_ID,VISIT_NO,DATE_COL,PSTL_CODE,LAB,SAMPLE_TYPE,SAMPLE_ID,NOT_COLLECTED,MATRIX,BATCH_ID,ANALYTE,RESULT,RESULT_UNITS,MDL,RL,QA_FLAG,NARS_FLAG,DATE_RECEIVED,DATE_ANALYZED,LAB_SAMPLE_ID,LAB_COMMENT
8/13/2024,2020277,NLA_NM-10024,NLA22_NM-10013,1,5/25/2022,NM,GreenWater,MICZ,209204,,WATER,220712-1,CYLSPER,,ug/L,0.05,0.1,ND,ND,6/30/2022,7/12/2022,12-209204,
8/13/2024,2020277,NLA_NM-10024,NLA22_NM-10013,1,5/25/2022,NM,GreenWater,MICZ,209204,,WATER,220711-1,MICX,,ug/L,0.1,0.15,ND,ND,6/30/2022,7/11/2022,12-209204,
8/13/2024,2020280,NLA_NJ-10025,NLA22_NJ-10009,1,6/1/2022,NJ,GreenWater,MICZ,201144,,WATER,220712-1,CYLSPER,,ug/L,0.05,0.1,ND,ND,6/30/2022,7/12/2022,13-201144,
8/13/2024,2020280,NLA_NJ-10025,NLA22_NJ-10009,1,6/1/2022,NJ,GreenWater,MICZ,201144,,WATER,220711-1,MICX,,ug/L,0.1,0.15,ND,ND,6/30/2022,7/11/2022,13-201144,
8/13/2024,2020281,NLA_NJ-10042,NLA22_NJ-10022,1,7/6/2022,NJ,GreenWater,MICZ,201064,,WATER,220805-1,MICX,0.17,ug/L,0.1,0.15,,,7/28/2022,8/5/2022,32-201064,
8/13/2024,2020281,NLA_NJ-10042,NLA22_NJ-10022,1,7/6/2022,NJ,GreenWater,MICZ,201064,,WATER,220815-1,CYLSPER,,ug/L,0.05,0.1,ND,ND,7/28/2022,8/15/2022,32-201064,
8/13/2024,2020283,NLA_PA-10043,NLA22_PA-10002,1,6/1/2022,PA,GreenWater,MICZ,216784,,WATER,220803-1,CYLSPER,,ug/L,0.05,0.1,ND,ND,7/19/2022,8/3/2022,6-216784,
8/13/2024,2020283,NLA_PA-10043,NLA22_PA-10002,1,6/1/2022,PA,GreenWater,MICZ,216784,,WATER,220801-1,MICX,,ug/L,0.1,0.15,ND,ND,7/19/2022,8/1/2022,6-216784,
8/13/2024,2020284,NLA_NJ-10021,NLA22_NJ-10001,1,7/12/2022,NJ,GreenWater,MICZ,201164,,WATER,220815-3,CYLSPER,,ug/L,0.05,0.1,ND,ND,7/28/2022,8/15/2022,81-201164,
8/13/2024,2020284,NLA_NJ-10021,NLA22_NJ-10001,1,7/12/2022,NJ,GreenWater,MICZ,201164,,WATER,220805-3,MICX,,ug/L,0.1,0.15,ND,ND,7/28/2022,8/5/2022,81-201164,
